Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
47640;4983;0.300706;95.937294;0.02411;132.131943;9.575172;82.241745;2.25748;0.111096;250.082138;0.634526;62520;8550;0.293381;92.461823;0.010747;52.784206;38.680969;52.127827;1.046596;0.545012;538.617798;0.834992;0.658921;4.605361;0.622175;0.761996;0.582807;1
43972;3672;0.301015;91.9067;0.040981;125.288803;6.408672;75.555275;2.179791;0.114777;180.312332;0.639776;49511;9873;0.272136;79.616264;0.006383;35.959572;25.265982;36.177155;0.847465;0.650183;615.98999;0.863642;0.654053;3.537572;0.78032;0.888126;0.371923;1
38042;4071;0.288341;102.300079;0.028845;132.334641;8.564457;86.071968;2.233491;0.131821;252.600647;0.614105;44339;6624;0.298507;82.547295;0.012699;34.424759;23.655487;33.957047;0.765051;0.690766;726.284058;0.871532;0.628253;4.128803;0.766875;0.857981;0.614583;1
38368;2634;0.318555;94.757751;0.069494;130.773727;5.016632;84.807068;2.154854;0.113014;165.80838;0.644014;41730;5796;0.297617;64.898994;0.01561;20.980848;14.798103;20.241041;0.514388;0.794493;655.292175;0.912763;0.657865;2.726708;0.791929;0.919434;0.454451;1
27399;5610;0.244531;64.051765;0.01094;49.812695;13.55705;31.306141;1.411746;0.373315;114.218628;0.755171;40354;8106;0.280493;67.438446;0.007718;35.3251;23.466171;31.603395;1.028646;0.584426;477.814178;0.822912;0.379167;5.213755;0.729559;0.678966;0.69208;1
13821;4824;0.266208;66.100655;0.007463;38.032978;13.485207;27.878658;0.949107;0.545671;196.431808;0.830869;35378;2349;0.31351;88.874283;0.080571;70.420097;42.246887;62.716957;1.612029;0.351916;598.285156;0.719709;0.249342;5.121019;0.845108;0.390667;2.05364;1
39171;5469;0.265386;116.267059;0.016457;97.83754;7.994587;73.218277;1.593078;0.333042;306.639526;0.7439;69258;7557;0.284359;112.338562;0.01524;76.394012;58.070549;75.72789;1.290457;0.439636;1072.654785;0.800946;0.414947;4.446342;0.579264;0.565581;0.7237;1
39393;4506;0.278571;105.710022;0.024381;101.149368;7.825294;67.948128;1.722357;0.263068;242.729568;0.738207;68264;5631;0.292052;108.168678;0.027054;79.817268;58.935089;77.774879;1.413816;0.398337;652.532104;0.772146;0.47956;3.925087;0.791643;0.577068;0.800213;1
888;552;0.286822;19.307259;0.036622;1.942217;0.60738;1.371388;0.056616;0.978457;19.32634;0.991972;37523;7494;0.236435;105.986229;0.008396;89.039635;65.54158;82.280998;1.62433;0.329123;875.203247;0.718986;0.010039;0.462312;0.289375;0.023665;0.073659;1
25425;6006;0.24661;94.586845;0.008857;73.616898;19.518606;60.470093;1.434335;0.372268;323.126312;0.752592;53337;5595;0.295268;96.440094;0.021411;80.209831;53.83913;76.320816;1.595084;0.323143;801.438171;0.729513;0.377562;5.786127;0.890251;0.476686;1.073458;1
